domain,n_cells,Local,Always_Lite,Always_Full,TRAIL_DGR_Replay_v3,mean_alpha,adoption_rate,Policy_FCAR,Lite_FCAR,DGR_minus_Lite
CALCE_CS2,4,0.3986540776046667,0.18601694106454233,0.20232400064802,0.33438983986006304,0.24867082363317777,0.4444444444444444,0.16666666666666666,0.5,0.1483728987955207
NASA,4,0.124163709784967,0.031191702280319582,0.04160722104387107,0.1144708761241941,0.10336411826845275,0.3333333333333333,0.0,0.08333333333333333,0.08327917384387451
XJTU_B2,15,0.03780964353843141,0.02816402337482548,0.02789797689322163,0.030388443710811234,0.3554241710969193,0.6444444444444444,0.05555555555555555,0.1111111111111111,0.0022244203359857544
