domain,test_battery,cutoff,Local,Always_Lite,Always_Full,TRAIL_DGR_Replay_v3,alpha,adoption_fraction,Policy_FCA,Lite_FCA
CALCE_CS2,CS2_35,150,0.633781603695772,0.30444037725476386,0.24148733346444437,0.5978450074311837,0.059904732288621615,0.3333333333333333,0,0
CALCE_CS2,CS2_35,250,0.13963118796027033,0.2838865257870104,0.22897693444036712,0.12676108021941593,0.11764305247276463,0.3333333333333333,0,1
CALCE_CS2,CS2_35,350,0.17551724270535976,0.26172134325403434,0.20853536471596346,0.17551724270535976,0.0,0.0,0,1
CALCE_CS2,CS2_36,150,0.5089084688023949,0.18474795891205886,0.15144660952941316,0.5089084688023949,0.0,0.0,0,0
CALCE_CS2,CS2_36,250,0.6338102617373405,0.11832870010882385,0.1362664945552419,0.6338102617373405,0.0,0.0,0,0
CALCE_CS2,CS2_36,350,0.054729327724452805,0.09931685719062892,0.12508760212226377,0.054729327724452805,0.0,0.0,0,1
CALCE_CS2,CS2_37,150,0.6480986792271027,0.1384355209882522,0.2667802879642697,0.1651874200324166,0.6049768621551554,1.0,0,0
CALCE_CS2,CS2_37,250,0.048533162153585906,0.14091871907146625,0.25954182410543125,0.1183128479544015,0.624765161646145,1.0,1,1
CALCE_CS2,CS2_37,350,1.5585872312885958,0.1410240231519211,0.24987738175266605,1.359147681975384,0.11749588334995881,0.3333333333333333,0,0
CALCE_CS2,CS2_38,150,0.06044661406149401,0.1769208837184879,0.17281628278337732,0.140743756240964,0.7803539226181454,1.0,1,1
CALCE_CS2,CS2_38,250,0.09031692404347706,0.1856618394978622,0.18514390875258194,0.08265520033628121,0.03885906091040378,0.3333333333333333,0,1
CALCE_CS2,CS2_38,350,0.2314882278561549,0.1968005438391981,0.20192798359021982,0.049059783161161497,0.6400512081569385,1.0,0,0
NASA,B0005,50,0.17019323757958016,0.05804413537368635,0.09388499146052126,0.17019323757958016,0.0,0.0,0,0
NASA,B0005,70,0.0812904231279747,0.05161654973318034,0.06419720246169809,0.06978165878493477,0.08728351690676676,0.6666666666666666,0,0
NASA,B0005,90,0.031645022184526604,0.027789745602908204,0.03203104780488827,0.031645022184526604,0.0,0.0,0,0
NASA,B0006,50,0.28474270456115025,0.07309930666166613,0.05831591107214426,0.2746783282489734,0.049773771310503534,0.6666666666666666,0,0
NASA,B0006,70,0.1635219825841164,0.028464496470848533,0.03520669356880552,0.1635219825841164,0.0,0.0,0,0
NASA,B0006,90,0.09225950012988869,0.015592395832680904,0.027721358400753734,0.07572093489259034,0.25748380872126403,0.6666666666666666,0,0
NASA,B0007,50,0.08978890960472717,0.013137142372734093,0.055893127656873855,0.08978890960472717,0.0,0.0,0,0
NASA,B0007,70,0.0809489323370706,0.016963647129865197,0.02671954413235204,0.06503761203716797,0.2905068814518454,0.6666666666666666,0,0
NASA,B0007,90,0.06920822843037658,0.024515461479650242,0.037974778332955275,0.024870600039049118,0.48483647263575497,1.0,0,0
NASA,B0018,50,0.2897604907174693,0.04162173616884599,0.022385778326227308,0.27180714137193973,0.07048496819529838,0.3333333333333333,0,0
NASA,B0018,70,0.12792554361713146,0.009969223950661521,0.01696612866251399,0.12792554361713146,0.0,0.0,0,0
NASA,B0018,90,0.008679542545592014,0.013486586587107515,0.02799009064671926,0.008679542545592014,0.0,0.0,0,1
XJTU_B2,B2_3C_battery-1,70,0.051661312268450076,0.02392066876511244,0.025087327295541282,0.02989414753189092,0.8085305877654626,1.0,0,0
XJTU_B2,B2_3C_battery-1,130,0.03453791517029841,0.016398645967711404,0.034239115760430004,0.029630095314011506,0.5182797032853866,1.0,0,0
XJTU_B2,B2_3C_battery-1,190,0.04432444486909288,0.015007225468902012,0.014995417094840993,0.0411973093761299,0.0858224189450739,0.3333333333333333,0,0
XJTU_B2,B2_3C_battery-10,70,0.029196594710291113,0.02030266777900465,0.02063537908693786,0.029196594710291113,0.0,0.0,0,0
XJTU_B2,B2_3C_battery-10,130,0.016940495660691886,0.014705082833941478,0.01707833242249938,0.008219099310064966,0.6661803813719425,1.0,0,0
XJTU_B2,B2_3C_battery-11,70,0.030665364994062316,0.01576059658008849,0.011413479640820304,0.030665364994062316,0.0,0.0,0,0
XJTU_B2,B2_3C_battery-12,70,0.036236709191346396,0.016877219258653636,0.018334621267522753,0.027941062372785666,0.3792869050941435,1.0,0,0
XJTU_B2,B2_3C_battery-12,130,0.03675669798013059,0.02622168126248678,0.02150369899500487,0.02986378518250352,0.710422336629582,1.0,0,0
XJTU_B2,B2_3C_battery-12,190,0.008022648037090295,0.0028324826282902643,0.0035773741612379873,0.005344700704948423,0.40009076260349835,1.0,0,0
XJTU_B2,B2_3C_battery-13,70,0.04306425267924372,0.03812315427291319,0.03390179940208044,0.037286020727662766,0.36330559351099473,1.0,0,0
XJTU_B2,B2_3C_battery-13,130,0.04474653628611633,0.03311003714681996,0.043561279392956044,0.04377802904857294,0.8024675231187857,1.0,0,0
XJTU_B2,B2_3C_battery-13,190,0.01306545143193122,0.004021786965529659,0.007140943902577422,0.01271037145277949,0.0333777348616499,0.3333333333333333,0,0
XJTU_B2,B2_3C_battery-14,70,0.03181172934318258,0.021093006714432164,0.02563057046798785,0.026918383717000477,0.2207014052308105,0.3333333333333333,0,0
XJTU_B2,B2_3C_battery-14,130,0.010557013541864486,0.005682073582044042,0.006351761506336334,0.002142448127309095,0.5898364731171252,1.0,0,0
XJTU_B2,B2_3C_battery-15,70,0.02861978108428355,0.1078163374361689,0.0824537578456445,0.031740426255941034,0.3149340233341549,1.0,1,1
XJTU_B2,B2_3C_battery-15,130,0.016850054451322247,0.019577059219866102,0.012721165216685926,0.012499734610836482,0.16353260318064902,0.6666666666666666,0,1
XJTU_B2,B2_3C_battery-2,70,0.037890166619843686,0.02994040223849703,0.021232829968515565,0.0240179591733275,0.6666610741169622,1.0,0,0
XJTU_B2,B2_3C_battery-2,130,0.04389882273953189,0.023885013584948527,0.03243718328434401,0.04378707980333411,0.09994766105121866,0.3333333333333333,0,0
XJTU_B2,B2_3C_battery-2,190,0.03679928000366024,0.027488169672612695,0.044788884931373764,0.03679928000366024,0.0,0.0,0,0
XJTU_B2,B2_3C_battery-3,70,0.08029408388991323,0.04069825898505269,0.042930231923329815,0.04657858192307927,0.8476772847354194,1.0,0,0
XJTU_B2,B2_3C_battery-3,130,0.04568855663137452,0.044032349241137296,0.04957076752917542,0.04591568123582096,0.13280512475295522,0.6666666666666666,1,0
XJTU_B2,B2_3C_battery-3,190,0.06038594625825691,0.04746292068776567,0.05624240172685632,0.06018821048498205,0.03499337330426758,0.3333333333333333,0,0
XJTU_B2,B2_3C_battery-4,70,0.056891482345488575,0.016343111441561853,0.03854074148938066,0.03688483159328931,0.7571999317873187,1.0,0,0
XJTU_B2,B2_3C_battery-4,130,0.024182324293071693,0.01919938911197724,0.03140403484952547,0.023976094121162212,0.0047825510096430384,0.3333333333333333,0,0
XJTU_B2,B2_3C_battery-4,190,0.04535554880477601,0.018888661517853216,0.014853700542721988,0.04535554880477601,0.0,0.0,0,0
XJTU_B2,B2_3C_battery-5,70,0.05406127869622287,0.020360994802467867,0.034931227106802,0.03585733453420629,0.7977403162761205,1.0,0,0
XJTU_B2,B2_3C_battery-5,130,0.04107490901316207,0.014285733686267121,0.038254860907797866,0.03116819884149727,0.46735635714992707,1.0,0,0
XJTU_B2,B2_3C_battery-5,190,0.043728365608645035,0.005721137631859899,0.01340098032803406,0.043728365608645035,0.0,0.0,0,0
XJTU_B2,B2_3C_battery-6,70,0.044975630424146644,0.014926393297235427,0.01818582230555039,0.018393857452411445,0.7686983916596221,1.0,0,0
XJTU_B2,B2_3C_battery-6,130,0.044177676732138106,0.014321672400040597,0.023795033596507423,0.028705576953896583,0.5454815078623633,1.0,0,0
XJTU_B2,B2_3C_battery-6,190,0.03757976182684459,0.006225382718443372,0.029408917990806527,0.03757976182684459,0.0,0.0,0,0
XJTU_B2,B2_3C_battery-7,70,0.09093143128752672,0.05152373929525043,0.03148721210977797,0.04273861081158362,0.859258001663184,1.0,0,0
XJTU_B2,B2_3C_battery-7,130,0.05057361730173102,0.03718232620932664,0.038205350131924935,0.044295085667290644,0.4414769440346496,1.0,0,0
XJTU_B2,B2_3C_battery-7,190,0.044605650953874865,0.04115083307070004,0.017565973089416553,0.044605650953874865,0.0,0.0,0,0
XJTU_B2,B2_3C_battery-8,70,0.03619061991174889,0.033818629351577006,0.038488382621622824,0.03487921278783095,0.6040524667786561,1.0,0,0
