domain,test_battery,Local,Always_Lite,Always_Full,TRAIL_DGR_Replay_v3,mean_alpha,adoption_fraction,Policy_FCAR,Lite_FCAR,delta_policy_minus_lite
CALCE_CS2,CS2_35,0.31631001145380067,0.2833494154319362,0.22633321087359168,0.30004111011865314,0.05918259492046208,0.2222222222222222,0.0,0.6666666666666666,0.01669169468671694
CALCE_CS2,CS2_36,0.3991493527547294,0.13413117207050387,0.1376002354023063,0.3991493527547294,0.0,0.0,0.0,0.3333333333333333,0.26501818068422556
CALCE_CS2,CS2_37,0.7517396908897614,0.1401260877372132,0.2587331646074557,0.5475493166540674,0.4490793023837531,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4074232289168542
CALCE_CS2,CS2_38,0.12741725532037532,0.18646108901851607,0.18662939170872636,0.09081957991280225,0.48642139722849587,0.7777777777777777,0.3333333333333333,0.6666666666666666,-0.09564150910571383
NASA,B0005,0.09437622763069382,0.04581681023659163,0.06337108057570254,0.09053997284968052,0.02909450563558892,0.2222222222222222,0.0,0.0,0.04472316261308889
NASA,B0006,0.18017472909171847,0.03905206632173185,0.040414654347234506,0.17130708190856006,0.10241919334392252,0.4444444444444444,0.0,0.0,0.1322550155868282
NASA,B0007,0.07998202345739146,0.018205416994083175,0.04019581670739372,0.059899040560314754,0.25844778469586677,0.5555555555555555,0.0,0.0,0.041693623566231575
NASA,B0018,0.14212185896006427,0.021692515568871678,0.02244733254515352,0.13613740917822106,0.023494989398432795,0.1111111111111111,0.0,0.3333333333333333,0.11444489360934938
XJTU_B2,B2_3C_battery-1,0.04350789076928046,0.018442180067241954,0.02477395338360409,0.033573850740677445,0.470877569998641,0.7777777777777778,0.0,0.0,0.015131670673435491
XJTU_B2,B2_3C_battery-10,0.0230685451854915,0.017503875306473064,0.01885685575471862,0.01870784701017804,0.33309019068597123,0.5,0.0,0.0,0.0012039717037049744
XJTU_B2,B2_3C_battery-11,0.030665364994062316,0.01576059658008849,0.011413479640820304,0.030665364994062316,0.0,0.0,0.0,0.0,0.014904768413973826
XJTU_B2,B2_3C_battery-12,0.027005351736189093,0.015310461049810228,0.014471898141255204,0.021049849420079203,0.4966000014424079,1.0,0.0,0.0,0.005739388370268975
XJTU_B2,B2_3C_battery-13,0.03362541346576376,0.025084992795087604,0.028201340899204636,0.03125814040967173,0.39971695049714345,0.7777777777777778,0.0,0.0,0.006173147614584127
XJTU_B2,B2_3C_battery-14,0.021184371442523536,0.013387540148238102,0.015991165987162093,0.014530415922154786,0.40526893917396783,0.6666666666666666,0.0,0.0,0.001142875773916684
XJTU_B2,B2_3C_battery-15,0.022734917767802898,0.0636966983280175,0.047587461531165214,0.02212008043338876,0.23923331325740194,0.8333333333333333,0.5,1.0,-0.04157661789462874
XJTU_B2,B2_3C_battery-2,0.03952942312101194,0.02710452849868608,0.03281963272807778,0.03486810632677395,0.25553624505606026,0.4444444444444444,0.0,0.0,0.00776357782808787
XJTU_B2,B2_3C_battery-3,0.06212286225984822,0.04406450963798522,0.04958113372645385,0.05089415788129409,0.33849192759754737,0.6666666666666666,0.3333333333333333,0.0,0.006829648243308867
XJTU_B2,B2_3C_battery-4,0.042143118481112095,0.018143720690464105,0.028266158960542704,0.03540549150640918,0.2539941609323206,0.4444444444444444,0.0,0.0,0.017261770815945078
XJTU_B2,B2_3C_battery-5,0.04628818443934332,0.013455955373531628,0.02886235611421131,0.0369179663281162,0.42169889114201586,0.6666666666666666,0.0,0.0,0.02346201095458457
XJTU_B2,B2_3C_battery-6,0.04224435632770978,0.011824482805239797,0.023796591297621447,0.028226398744384207,0.4380599665073284,0.6666666666666666,0.0,0.0,0.01640191593914441
XJTU_B2,B2_3C_battery-7,0.06203689984771087,0.0432856328584257,0.02908617844370649,0.04387978247758304,0.4335783152326112,0.6666666666666666,0.0,0.0,0.0005941496191573387
XJTU_B2,B2_3C_battery-8,0.03554337951352195,0.03239603207720566,0.03777705414319015,0.03504559337426776,0.2868018948791656,0.6666666666666666,0.0,0.0,0.0026495612970621057
XJTU_B2,B2_3C_battery-9,0.035444573725099425,0.06299914440588708,0.02698439264659051,0.018683610093127787,0.5584142000512072,0.8888888888888888,0.0,0.6666666666666666,-0.044315534312759294
